이름,별점,가격
에코랜드 호텔,5.0,131506
탐라스테이 제주,4.4,60700
제주 메가리조트,5.0,33840
신신호텔 제주시티,5.0,50428
에벤에셀호텔 제주 함덕,5.0,56400
도두봉스테이호텔,5.0,39480
오션스위츠 제주호텔,4.3,82720
아이미 제주비치호텔W,5.0,49500
제주 그라벨호텔,4.2,105280
제주오리엔탈호텔,4.3,79900
라마다제주함덕호텔,4.6,92120
제주팔레스호텔,4.1,70500
소노벨 제주,4.2,144000
라마다 제주시티 호텔,4.3,86480
다인리조트,4.2,68056
신라스테이 제주,4.2,125452
라온호텔앤리조트,4.3,63920
베스트웨스턴 제주,4.5,85000
유탑유블레스호텔,4.3,81780
베니키아 호텔 제주,4.2,53580
