순위,제목,별점,누적관객수
1,극장판 체인소 맨: 레제편,9.28,1900000
2,보스,8.19,2090000
3,어쩔수가없다,7.22,2660000
4,원 배틀 애프터 어나더,8.43,380000
5,극장판 귀멸의 칼날: 무한성편,9.02,5410000
6,트론: 아레스,7.73,150000
7,연의 편지,8.71,180000
8,얼굴,8.18,1060000
9,그저 사고였을 뿐,8.34,20000
10,나쁜계집애: 달려라 하니,8.28,50000
