순위,제목,별점,누적 관객수
1,극장판 체인소 맨: 레제편,9.26,누적 관객 230만명
2,8번 출구,8.18,누적 관객 3만명
3,보스,8.08,누적 관객 230만명
4,코렐라인,8.62,누적 관객 23만명
5,어쩔수가없다,7.25,누적 관객 281만명
6,극장판 주술회전: 회옥·옥절,7.9,누적 관객 15만명
7,원 배틀 애프터 어나더,8.41,누적 관객 46만명
8,극장판 귀멸의 칼날: 무한성편,9.03,누적 관객 548만명
9,세계의 주인,9.31,"누적 관객 5,936명"
10,퍼스트 라이드,개봉 전,코미디 116분
